Course Name,Starter Name,Desert Name,Drink,Sides
Greek salad,Olives,Greek yoghurt,Athens White wine,Tapas
Bean soup,Flatbread,Ice cream,Corfu Red Wine,Potato salad
Pizza,Minestrone,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Tomato bread,Affogato,Roma Red wine,Focaccia
Kabasa,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Hummus,Baklava,Turkish Coffee,Fries
Greek salad,Olives,Greek yoghurt,Athens White wine,Tapas
Bean soup,Flatbread,Ice cream,Corfu Red Wine,Potato salad
Pizza,Minestrone,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Tomato bread,Affogato,Roma Red wine,Focaccia
Kabasa,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Hummus,Baklava,Turkish Coffee,Fries
Greek salad,Olives,Greek yoghurt,Athens White wine,Tapas
Bean soup,Flatbread,Ice cream,Corfu Red Wine,Potato salad
Pizza,Minestrone,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Tomato bread,Affogato,Roma Red wine,Focaccia
Kabasa,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Hummus,Baklava,Turkish Coffee,Fries
Greek salad,Olives,Greek yoghurt,Athens White wine,Tapas
Bean soup,Olives,Ice cream,Corfu Red Wine,Potato salad
Pizza,Flatbread,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Minestrone,Affogato,Roma Red wine,Focaccia
Kabasa,Tomato bread,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Falafel,Baklava,Turkish Coffee,Fries
Greek salad,Hummus,Greek yoghurt,Athens White wine,Tapas
Bean soup,Olives,Ice cream,Corfu Red Wine,Potato salad
Pizza,Flatbread,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Minestrone,Affogato,Roma Red wine,Focaccia
Kabasa,Tomato bread,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Falafel,Baklava,Turkish Coffee,Fries
Greek salad,Hummus,Greek yoghurt,Athens White wine,Tapas
Bean soup,Olives,Ice cream,Corfu Red Wine,Potato salad
Pizza,Flatbread,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Minestrone,Affogato,Roma Red wine,Focaccia
Kabasa,Tomato bread,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Falafel,Baklava,Turkish Coffee,Fries
Greek salad,Hummus,Greek yoghurt,Athens White wine,Tapas
Bean soup,Olives,Ice cream,Corfu Red Wine,Potato salad
Pizza,Olives,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Flatbread,Affogato,Roma Red wine,Focaccia
Kabasa,Minestrone,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Tomato bread,Baklava,Turkish Coffee,Fries
Greek salad,Falafel,Greek yoghurt,Athens White wine,Tapas
Bean soup,Hummus,Ice cream,Corfu Red Wine,Potato salad
Pizza,Olives,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Flatbread,Affogato,Roma Red wine,Focaccia
Kabasa,Minestrone,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Tomato bread,Baklava,Turkish Coffee,Fries
Greek salad,Falafel,Greek yoghurt,Athens White wine,Tapas
Bean soup,Hummus,Ice cream,Corfu Red Wine,Potato salad
Pizza,Olives,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Flatbread,Affogato,Roma Red wine,Focaccia
Kabasa,Minestrone,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Tomato bread,Baklava,Turkish Coffee,Fries
Greek salad,Falafel,Greek yoghurt,Athens White wine,Tapas
Bean soup,Hummus,Ice cream,Corfu Red Wine,Potato salad
Pizza,Olives,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Olives,Affogato,Roma Red wine,Focaccia
Kabasa,Flatbread,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Minestrone,Baklava,Turkish Coffee,Fries
Greek salad,Tomato bread,Greek yoghurt,Athens White wine,Tapas
Bean soup,Falafel,Ice cream,Corfu Red Wine,Potato salad
Pizza,Hummus,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Olives,Affogato,Roma Red wine,Focaccia
Kabasa,Flatbread,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Minestrone,Baklava,Turkish Coffee,Fries
Greek salad,Tomato bread,Greek yoghurt,Athens White wine,Tapas
Bean soup,Falafel,Ice cream,Corfu Red Wine,Potato salad
Pizza,Hummus,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Olives,Affogato,Roma Red wine,Focaccia
Kabasa,Flatbread,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Minestrone,Baklava,Turkish Coffee,Fries
Greek salad,Tomato bread,Greek yoghurt,Athens White wine,Tapas
Bean soup,Falafel,Ice cream,Corfu Red Wine,Potato salad
Pizza,Hummus,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Olives,Affogato,Roma Red wine,Focaccia
Kabasa,Olives,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Flatbread,Baklava,Turkish Coffee,Fries
Greek salad,Minestrone,Greek yoghurt,Athens White wine,Tapas
Bean soup,Tomato bread,Ice cream,Corfu Red Wine,Potato salad
Pizza,Falafel,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Hummus,Affogato,Roma Red wine,Focaccia
Kabasa,Olives,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Flatbread,Baklava,Turkish Coffee,Fries
Greek salad,Minestrone,Greek yoghurt,Athens White wine,Tapas
Bean soup,Tomato bread,Ice cream,Corfu Red Wine,Potato salad
Pizza,Falafel,Cheesecake,Italian Coffee,Bruschetta
Carbonara,Hummus,Affogato,Roma Red wine,Focaccia
Kabasa,Olives,Turkish yoghurt,Ankara White Wine,Meatballs
Shwarma,Flatbread,Baklava,Turkish Coffee,Fries
Greek salad,Minestrone,Greek yoghurt,Athens White wine,Tapas
