Quantity,Sales, Cost,Discount,Order Date,CustomerID,MenuID,DeliveryID
2,187.5,125,20,2020-06-15,1,1,1
1,352.5,235,15,2020-08-25,2,2,2
3,112.5,75,10.52,2021-08-17,3,3,3
3,330,220,11.23,2021-08-14,4,4,4
2,480,320,51.05,2020-12-20,5,5,5
1,315,210,89.84,2020-03-01,6,6,6
2,465,310,17.4,2021-10-04,7,7,7
3,337.5,225,91.41,2021-10-09,8,8,8
2,285,190,9.71,2021-12-27,9,9,9
1,147,98,80.34,2020-03-05,10,10,10
3,252.405,168.27,54.08,2019-07-20,11,11,11
3,152.4,101.6,98.01,2022-06-26,12,12,12
2,139.695,93.13,99.24,2020-12-03,13,13,13
1,66.855,44.57,30,2022-04-13,14,14,14
2,137.76,91.84,37.04,2020-08-22,15,15,15
3,199.755,133.17,24,2020-09-30,16,16,16
2,78.12,52.08,10,2019-09-04,17,17,17
1,125.985,83.99,53.53,2021-04-29,18,18,18
3,104.07,69.38,23,2020-04-14,19,19,19
3,179.7,119.8,73.09,2020-04-24,20,20,20
2,187.5,125,20.33,2019-09-30,21,21,21
1,352.5,235,9.12,2021-06-08,22,22,22
2,112.5,75,67.77,2020-06-01,23,23,23
3,330,220,35.44,2021-11-03,24,24,24
2,480,320,31.2,2020-02-02,25,25,25
1,315,210,61.49,2019-09-13,26,26,26
3,465,310,91.14,2020-08-25,27,27,27
3,337.5,225,97.48,2021-04-22,28,28,28
2,285,190,68.89,2019-08-09,29,29,29
1,147,98,47.84,2022-04-12,30,30,30
2,252.405,168.27,94.76,2022-01-28,31,31,31
3,152.4,101.6,20,2021-04-02,32,32,32
2,139.695,93.13,15,2021-11-23,33,33,33
1,66.855,44.57,10.52,2022-04-05,34,34,34
3,137.76,91.84,11.23,2019-08-10,35,35,35
3,199.755,133.17,51.05,2022-02-27,36,36,36
2,78.12,52.08,89.84,2019-08-08,37,37,37
1,125.985,83.99,17.4,2022-05-04,38,38,38
2,104.07,69.38,91.41,2020-10-05,39,39,39
3,179.7,119.8,9.71,2021-01-27,40,40,40
2,187.5,125,80.34,2019-08-14,41,41,41
1,352.5,235,54.08,2021-11-25,42,42,42
3,112.5,75,98.01,2019-09-29,43,43,43
3,330,220,99.24,2022-04-13,44,44,44
2,480,320,30,2020-12-10,45,45,45
1,315,210,37.04,2022-11-19,46,46,46
2,465,310,24,2021-08-16,47,47,47
3,337.5,225,10,2021-06-13,48,48,48
2,285,190,53.53,2021-02-02,49,49,49
1,147,98,23,2022-03-07,50,50,50
3,252.405,168.27,73.09,2022-12-02,51,51,51
3,186.93,124.62,20.33,2019-12-16,52,52,52
2,216.135,144.09,9.12,2022-05-27,53,53,53
1,152.4,101.6,67.77,2020-03-29,54,54,54
2,139.695,93.13,35.44,2021-01-12,55,55,55
3,66.855,44.57,31.2,2022-08-12,56,56,56
2,137.76,91.84,61.49,2022-03-27,57,57,57
1,199.755,133.17,91.14,2022-02-15,58,58,58
3,78.12,52.08,97.48,2021-10-11,59,59,59
3,125.985,83.99,68.89,2020-08-24,60,60,60
2,104.07,69.38,47.84,2021-06-17,61,61,61
1,179.7,119.8,94.76,2021-01-12,62,62,62
2,187.5,125,20,2021-12-03,63,63,63
3,352.5,235,15,2019-11-03,64,64,64
2,112.5,75,10.52,2019-07-03,65,65,65
1,330,220,11.23,2021-10-09,66,66,66
3,480,320,51.05,2021-09-06,67,67,67
3,315,210,89.84,2020-08-30,68,68,68
2,465,310,17.4,2019-08-05,69,69,69
1,337.5,225,91.41,2022-10-16,70,70,70
2,285,190,9.71,2021-12-19,71,71,71
3,147,98,80.34,2019-08-15,72,72,72
2,252.405,168.27,54.08,2020-05-28,73,73,73
1,186.93,124.62,98.01,2019-12-11,74,74,74
3,216.135,144.09,99.24,2022-05-15,75,75,75
3,152.4,101.6,30,2021-06-06,76,76,76
2,139.695,93.13,37.04,2021-04-28,77,77,77
1,66.855,44.57,24,2022-01-22,78,78,78
2,137.76,91.84,10,2021-08-15,79,79,79
3,199.755,133.17,53.53,2019-07-17,80,80,80
2,78.12,52.08,23,2022-08-10,81,81,81
1,125.985,83.99,73.09,2021-01-08,82,82,82
3,104.07,69.38,20.33,2022-07-06,83,83,83
3,179.7,119.8,9.12,2020-07-01,84,84,84
2,187.5,125,67.77,2022-08-19,85,85,85
1,352.5,235,35.44,2020-11-20,86,86,86
2,112.5,75,31.2,2020-12-14,87,87,87
3,330,220,61.49,2019-10-30,88,88,88
2,480,320,91.14,2022-08-24,89,89,89
1,315,210,97.48,2020-02-22,90,90,90
3,465,310,68.89,2019-11-01,91,91,91
3,337.5,225,47.84,2019-09-13,92,92,92
2,285,190,94.76,2022-08-15,93,93,93
1,147,98,20,2019-11-02,94,94,94
2,252.405,168.27,15,2022-05-05,95,95,95
3,186.93,124.62,10.52,2022-02-20,96,96,96
2,216.135,144.09,11.23,2021-04-20,97,97,97
1,152.4,101.6,51.05,2021-01-22,98,98,98
3,139.695,93.13,89.84,2021-12-12,99,99,99
3,66.855,44.57,17.4,2020-02-28,100,100,100
2,137.76,91.84,91.41,2022-06-05,101,101,101
1,199.755,133.17,9.71,2021-06-19,102,102,102
2,78.12,52.08,80.34,2019-10-14,103,103,103
3,125.985,83.99,54.08,2022-08-11,104,104,104
2,104.07,69.38,98.01,2021-12-21,105,105,105
1,179.7,119.8,99.24,2020-02-18,106,106,106
3,187.5,125,30,2020-02-26,107,107,107
3,352.5,235,37.04,2022-12-13,108,108,108
2,112.5,75,24,2021-12-30,109,109,109
1,330,220,10,2021-05-07,110,110,110
2,480,320,53.53,2019-09-17,111,111,111
3,315,210,23,2020-03-10,112,112,112
2,465,310,73.09,2021-12-29,113,113,113
1,337.5,225,20.33,2021-05-07,114,114,114
3,285,190,9.12,2022-09-19,115,115,115
3,147,98,67.77,2022-07-17,116,116,116
2,252.405,168.27,35.44,2021-02-03,117,117,117
1,186.93,124.62,31.2,2021-12-13,118,118,118
2,216.135,144.09,61.49,2022-01-21,119,119,119
3,152.4,101.6,91.14,2022-06-14,120,120,120
2,139.695,93.13,97.48,2020-12-24,121,121,121
1,66.855,44.57,68.89,2019-11-20,122,122,122
3,137.76,91.84,47.84,2020-01-17,123,123,123
3,199.755,133.17,94.76,2021-10-03,124,124,124
2,78.12,52.08,20,2020-04-29,125,125,125
1,125.985,83.99,15,2020-06-10,126,126,126
2,104.07,69.38,10.52,2020-06-03,127,127,127
3,179.7,119.8,11.23,2022-08-02,128,128,128
2,187.5,125,51.05,2021-08-07,129,129,129
1,352.5,235,89.84,2020-08-15,130,130,130
3,112.5,75,17.4,2022-10-03,131,131,131
3,330,220,91.41,2021-09-26,132,132,132
2,480,320,9.71,2020-01-11,133,133,133
1,315,210,80.34,2021-09-01,134,134,134
2,465,310,54.08,2021-08-27,135,135,135
3,337.5,225,98.01,2022-08-05,136,136,136
2,285,190,99.24,2022-08-21,137,137,137
1,147,98,30,2021-05-25,138,138,138
3,252.405,168.27,37.04,2021-08-11,139,139,139
3,186.93,124.62,24,2020-07-06,140,140,140
2,216.135,144.09,10,2020-08-13,141,141,141
1,152.4,101.6,53.53,2020-12-22,142,142,142
2,139.695,93.13,23,2019-09-22,143,143,143
3,66.855,44.57,73.09,2021-02-04,144,144,144
2,137.76,91.84,20.33,2022-10-10,145,145,145
1,199.755,133.17,9.12,2022-07-24,146,146,146
3,78.12,52.08,67.77,2021-10-14,147,147,147
3,125.985,83.99,35.44,2022-12-09,148,148,148
2,104.07,69.38,31.2,2020-10-01,149,149,149
1,179.7,119.8,61.49,2020-02-12,150,150,150
2,187.5,125,91.14,2021-09-19,151,151,151
3,352.5,235,97.48,2022-09-27,152,152,152
2,112.5,75,68.89,2020-02-08,153,153,153
1,330,220,47.84,2019-08-03,154,154,154
3,480,320,94.76,2022-11-14,155,155,155
3,315,210,20,2019-09-14,156,156,156
2,465,310,15,2019-11-24,157,157,157
1,337.5,225,10.52,2021-05-07,158,158,158
2,285,190,11.23,2019-08-04,159,159,159
3,147,98,51.05,2021-06-26,160,160,160
2,252.405,168.27,89.84,2022-05-26,161,161,161
1,186.93,124.62,17.4,2020-11-26,162,162,162
3,216.135,144.09,91.41,2020-09-30,163,163,163
3,152.4,101.6,9.71,2022-02-14,164,164,164
2,139.695,93.13,80.34,2019-12-22,165,165,165
1,66.855,44.57,54.08,2021-10-24,166,166,166
2,137.76,91.84,98.01,2019-12-20,167,167,167
3,199.755,133.17,99.24,2021-04-29,168,168,168
2,78.12,52.08,30,2020-06-11,169,169,169
1,125.985,83.99,37.04,2021-03-14,170,170,170
3,104.07,69.38,24,2021-09-15,171,171,171
3,179.7,119.8,10,2021-05-21,172,172,172
2,187.5,125,53.53,2020-08-16,173,173,173
1,352.5,235,23,2021-04-08,174,174,174
2,112.5,75,73.09,2020-10-24,175,175,175
3,330,220,20.33,2021-02-24,176,176,176
2,480,320,9.12,2019-08-26,177,177,177
1,315,210,67.77,2020-07-14,178,178,178
3,465,310,35.44,2020-07-15,179,179,179
3,337.5,225,31.2,2020-03-05,180,180,180
2,285,190,61.49,2022-06-07,181,181,181
1,147,98,91.14,2021-09-10,182,182,182
2,252.405,168.27,97.48,2020-09-22,183,183,183
3,186.93,124.62,68.89,2020-09-22,184,184,184
2,216.135,144.09,47.84,2020-08-05,185,185,185
1,152.4,101.6,94.76,2020-01-06,186,186,186
3,139.695,93.13,20,2020-08-01,187,187,187
3,66.855,44.57,15,2020-04-26,188,188,188
2,137.76,91.84,10.52,2020-11-01,189,189,189
1,199.755,133.17,11.23,2022-06-03,190,190,190
2,78.12,52.08,51.05,2020-12-10,191,191,191
